epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,685.67,0.82972,0.5421,0.01209,0.85653,0.74912,0.84212,0.64926,0.93879,0.92107,0.01896,0.000990365,0.000990365,0.000990365
43,701.795,0.83146,0.52278,0.01234,0.82065,0.76629,0.86909,0.64082,0.96412,0.75738,0.01972,0.000973861,0.000973861,0.000973861
44,717.902,0.86204,0.524,0.01197,0.76843,0.81034,0.83182,0.6216,0.95657,0.85438,0.01965,0.000957358,0.000957358,0.000957358
45,734.034,0.80555,0.52148,0.01208,0.85475,0.74627,0.85552,0.64354,1.02242,0.76993,0.02203,0.000940855,0.000940855,0.000940855
46,750.072,0.80472,0.51267,0.01237,0.89291,0.74706,0.88686,0.66295,0.94356,0.7477,0.01971,0.000924352,0.000924352,0.000924352
47,766.317,0.83617,0.52848,0.01106,0.825,0.78363,0.85219,0.65439,0.88716,0.74739,0.01728,0.000907848,0.000907848,0.000907848
48,782.447,0.79407,0.52399,0.01187,0.82404,0.72855,0.84408,0.63235,0.97933,0.752,0.01939,0.000891345,0.000891345,0.000891345
49,798.473,0.74407,0.51626,0.01126,0.8487,0.76322,0.85811,0.68011,0.84614,0.76333,0.0158,0.000874842,0.000874842,0.000874842
50,814.607,0.78113,0.49748,0.01138,0.8068,0.75365,0.83615,0.65657,0.92156,0.83066,0.01905,0.000858338,0.000858338,0.000858338
51,830.645,0.79555,0.48074,0.01221,0.8859,0.76291,0.88819,0.66584,0.95286,0.71589,0.01899,0.000841835,0.000841835,0.000841835
52,846.793,0.76514,0.4761,0.01239,0.88127,0.77138,0.88704,0.67617,0.93155,0.67779,0.01909,0.000825332,0.000825332,0.000825332
53,862.875,0.7256,0.45207,0.01111,0.8339,0.79095,0.88003,0.67292,0.94139,0.65114,0.01971,0.000808828,0.000808828,0.000808828
54,879.047,0.70956,0.44231,0.01027,0.91741,0.74466,0.87087,0.6823,0.86876,0.68989,0.01667,0.000792325,0.000792325,0.000792325
55,895.274,0.76475,0.44668,0.01103,0.86503,0.80533,0.87258,0.67429,0.8901,0.68743,0.01709,0.000775822,0.000775822,0.000775822
56,911.434,0.72665,0.45997,0.01082,0.90561,0.79681,0.8778,0.67517,0.93091,0.65615,0.01877,0.000759318,0.000759318,0.000759318
57,927.483,0.74327,0.47737,0.01035,0.84653,0.82082,0.86077,0.67131,0.87058,0.73585,0.01745,0.000742815,0.000742815,0.000742815
58,943.625,0.74978,0.45562,0.00992,0.84888,0.77454,0.86051,0.66724,0.87519,0.73927,0.01775,0.000726312,0.000726312,0.000726312
59,959.955,0.71571,0.42748,0.01053,0.84879,0.77188,0.84667,0.67635,0.83976,0.84697,0.01589,0.000709809,0.000709809,0.000709809
60,976.349,0.74119,0.44895,0.01059,0.89785,0.72004,0.85865,0.66451,0.90776,0.73073,0.01729,0.000693305,0.000693305,0.000693305
61,992.452,0.74022,0.45031,0.01035,0.86452,0.84072,0.88445,0.67777,0.88871,0.73615,0.0169,0.000676802,0.000676802,0.000676802
62,1008.85,0.71475,0.41319,0.01032,0.88681,0.78994,0.88792,0.70928,0.84888,0.63619,0.01688,0.000660299,0.000660299,0.000660299
63,1024.99,0.71792,0.41674,0.00994,0.8509,0.80361,0.87208,0.69594,0.83939,0.65607,0.01534,0.000643795,0.000643795,0.000643795
64,1041.14,0.67239,0.42535,0.00963,0.91678,0.71689,0.84475,0.66598,0.84701,0.76256,0.01569,0.000627292,0.000627292,0.000627292
65,1057.2,0.68929,0.40373,0.01069,0.91822,0.76582,0.87711,0.69029,0.8547,0.71654,0.01603,0.000610789,0.000610789,0.000610789
66,1073.26,0.68726,0.42449,0.0101,0.93251,0.82854,0.89991,0.70196,0.84072,0.58546,0.01571,0.000594286,0.000594286,0.000594286
67,1089.29,0.69624,0.40652,0.0093,0.90612,0.83701,0.90214,0.71787,0.85582,0.60738,0.01701,0.000577782,0.000577782,0.000577782
68,1105.44,0.6584,0.41068,0.00938,0.84552,0.84145,0.88298,0.69543,0.83197,0.65483,0.01594,0.000561279,0.000561279,0.000561279
69,1121.54,0.70926,0.41273,0.0095,0.85339,0.86321,0.88327,0.69311,0.83229,0.7028,0.0161,0.000544776,0.000544776,0.000544776
