epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,430.576,1.10386,0.67837,0.00894,0.86072,0.8633,0.91103,0.64214,1.16792,0.62914,0.0149,0.000990365,0.000990365,0.000990365
43,439.99,1.07523,0.66709,0.00851,0.7279,0.74285,0.80019,0.55472,1.15588,1.02504,0.0149,0.000973861,0.000973861,0.000973861
44,449.349,1.02453,0.60287,0.00846,0.83623,0.86168,0.90465,0.65668,1.111,0.60019,0.01356,0.000957358,0.000957358,0.000957358
45,459.044,1.09399,0.62464,0.00961,0.7168,0.80035,0.82663,0.51966,1.36959,0.91692,0.01792,0.000940855,0.000940855,0.000940855
46,468.42,1.09672,0.63558,0.00886,0.83073,0.87805,0.8996,0.61866,1.1996,0.7445,0.01483,0.000924352,0.000924352,0.000924352
47,477.75,1.05295,0.6208,0.00869,0.84903,0.79425,0.86527,0.60251,1.1858,0.68956,0.01525,0.000907848,0.000907848,0.000907848
48,487.132,1.05149,0.61393,0.00788,0.87924,0.81475,0.91466,0.64644,1.18305,0.59491,0.01518,0.000891345,0.000891345,0.000891345
49,496.48,1.00558,0.56435,0.00884,0.89966,0.81509,0.91467,0.62798,1.19702,0.66276,0.01532,0.000874842,0.000874842,0.000874842
50,505.857,0.93943,0.57225,0.00837,0.93313,0.86568,0.9161,0.63106,1.2229,0.60423,0.0159,0.000858338,0.000858338,0.000858338
51,515.211,1.01393,0.57156,0.0081,0.91279,0.82282,0.92165,0.64791,1.09848,0.59694,0.01309,0.000841835,0.000841835,0.000841835
52,524.643,1.02232,0.53283,0.00736,0.86851,0.84321,0.90796,0.63999,1.06681,0.63529,0.01359,0.000825332,0.000825332,0.000825332
53,534.045,0.95162,0.53665,0.00765,0.87224,0.85855,0.92062,0.66214,1.09841,0.56672,0.01368,0.000808828,0.000808828,0.000808828
54,543.441,0.98147,0.58676,0.00779,0.81411,0.8702,0.91096,0.62719,1.19727,0.61988,0.01482,0.000792325,0.000792325,0.000792325
55,552.831,0.96408,0.55311,0.00779,0.8617,0.8953,0.9135,0.63786,1.11078,0.55894,0.01353,0.000775822,0.000775822,0.000775822
56,562.212,0.95261,0.52585,0.00762,0.87732,0.86716,0.91501,0.65228,1.07683,0.58343,0.01306,0.000759318,0.000759318,0.000759318
57,571.607,0.95319,0.53619,0.00759,0.87372,0.8831,0.92679,0.66961,1.04366,0.53938,0.01241,0.000742815,0.000742815,0.000742815
58,581.072,0.9681,0.53303,0.00864,0.79455,0.89546,0.90076,0.63979,1.13758,0.71114,0.01453,0.000726312,0.000726312,0.000726312
59,590.477,0.9319,0.5253,0.00789,0.84849,0.87698,0.91696,0.66234,1.10726,0.59064,0.0131,0.000709809,0.000709809,0.000709809
60,599.844,0.94825,0.55161,0.00781,0.85086,0.91254,0.94516,0.67063,1.18287,0.54262,0.01535,0.000693305,0.000693305,0.000693305
61,609.212,0.89688,0.5339,0.00856,0.90243,0.88951,0.92783,0.66386,1.13598,0.58119,0.01342,0.000676802,0.000676802,0.000676802
62,618.611,1.01217,0.54336,0.00938,0.86372,0.87839,0.89647,0.64644,1.07814,0.62001,0.01388,0.000660299,0.000660299,0.000660299
63,627.977,0.92913,0.53722,0.0079,0.86761,0.87095,0.92392,0.67444,1.09252,0.5687,0.01433,0.000643795,0.000643795,0.000643795
