epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,128.945,1.70521,2.25662,1.27344,0.02487,1.53091,0.65447,0.60416,0.6005,0.30448,0.5997,0.55172,0.5143,0.26353,2.0003,2.26128,1.31414,0.0378,0,0.0014654,0.0014654,0.0014654
29,133.54,1.75471,2.2823,1.27577,0.02603,1.54971,0.72991,0.57759,0.63832,0.39721,0.66716,0.52586,0.54635,0.28404,1.56526,2.22455,1.2245,0.02796,0,0.0014456,0.0014456,0.0014456
30,138.263,1.66941,2.24066,1.22155,0.02399,1.43727,0.77793,0.48276,0.59537,0.28812,0.68318,0.40899,0.48574,0.20641,1.76983,2.46352,1.5024,0.03297,0,0.0014258,0.0014258,0.0014258
31,142.845,1.69439,2.35615,1.28194,0.02541,1.55564,0.60049,0.46648,0.51603,0.28898,0.50273,0.47414,0.46487,0.18364,1.4996,2.79527,1.43541,0.02601,0,0.001406,0.001406,0.001406
32,147.47,1.67726,2.25081,1.2835,0.02437,1.49519,0.5443,0.60345,0.54108,0.29707,0.51023,0.52988,0.50386,0.27359,1.80956,2.15759,1.53961,0.03432,0,0.0013862,0.0013862,0.0013862
33,151.905,1.69167,2.33099,1.30663,0.02443,1.57034,0.69905,0.60345,0.59173,0.31523,0.61053,0.52705,0.54561,0.25124,1.67858,2.26929,1.36298,0.03087,0,0.0013664,0.0013664,0.0013664
34,156.332,1.71567,2.30806,1.29168,0.02545,1.52641,0.59157,0.56034,0.58763,0.31418,0.565,0.53448,0.52591,0.24555,1.72056,2.1884,1.3836,0.03141,0,0.0013466,0.0013466,0.0013466
35,160.864,1.64221,2.25244,1.22599,0.02381,1.44957,0.68199,0.59163,0.63396,0.3615,0.60054,0.53448,0.56376,0.26723,1.7525,2.27802,1.21726,0.03205,0,0.0013268,0.0013268,0.0013268
36,165.361,1.659,2.32535,1.22353,0.025,1.48119,0.70557,0.5431,0.63823,0.32074,0.72153,0.48276,0.56111,0.20483,1.60562,2.2257,1.62452,0.02836,0,0.001307,0.001307,0.001307
37,169.829,1.635,2.28088,1.16701,0.02417,1.46219,0.6406,0.58391,0.5979,0.35689,0.58112,0.57759,0.55031,0.27579,1.62604,2.16893,1.13136,0.02951,0,0.0012872,0.0012872,0.0012872
38,174.437,1.63238,2.25169,1.18219,0.02338,1.41522,0.67199,0.58283,0.66104,0.37456,0.68036,0.46552,0.54444,0.27607,1.73268,2.19475,1.2057,0.03153,0,0.0012674,0.0012674,0.0012674
39,178.996,1.65517,2.30035,1.21054,0.02396,1.45697,0.53679,0.52586,0.48814,0.27562,0.52645,0.50794,0.45193,0.20769,1.64125,2.15635,1.3731,0.02932,0,0.0012476,0.0012476,0.0012476
40,183.548,1.63348,2.20503,1.21206,0.02317,1.45277,0.58641,0.58621,0.56084,0.3243,0.53913,0.54458,0.52561,0.23887,1.72013,2.17372,1.29514,0.0313,0,0.0012278,0.0012278,0.0012278
41,188.067,1.59885,2.22669,1.18684,0.02382,1.4497,0.68736,0.63793,0.6539,0.39784,0.58214,0.57759,0.54776,0.29018,1.52522,2.24791,1.15575,0.02756,0,0.001208,0.001208,0.001208
42,192.675,1.65046,2.26632,1.20006,0.02375,1.41157,0.7422,0.62048,0.67953,0.34516,0.6365,0.63402,0.60036,0.27364,1.76924,2.11584,1.0922,0.03328,0,0.0011882,0.0011882,0.0011882
43,197.375,1.6088,2.23612,1.22262,0.02342,1.44757,0.80532,0.56034,0.65195,0.38752,0.73553,0.55172,0.60952,0.27127,1.54134,2.14917,1.16716,0.02734,0,0.0011684,0.0011684,0.0011684
44,201.899,1.64834,2.20832,1.1328,0.0238,1.37388,0.67461,0.56897,0.57623,0.32776,0.57863,0.56897,0.50433,0.24264,1.61179,2.21497,1.27324,0.02992,0,0.0011486,0.0011486,0.0011486
45,206.429,1.60968,2.21879,1.18264,0.02325,1.39754,0.62007,0.62069,0.63283,0.36362,0.59454,0.53094,0.53908,0.23763,1.5809,2.18226,1.21748,0.02878,0,0.0011288,0.0011288,0.0011288
46,211,1.59915,2.20815,1.14401,0.02287,1.36883,0.74666,0.60345,0.68331,0.40187,0.7262,0.5259,0.60668,0.25602,1.77928,2.31671,1.08023,0.03335,0,0.001109,0.001109,0.001109
47,215.541,1.63566,2.15859,1.11254,0.02405,1.32584,0.8099,0.64655,0.6946,0.40867,0.72863,0.58621,0.59062,0.31294,1.63849,2.15453,1.14554,0.03075,0,0.0010892,0.0010892,0.0010892
48,220.195,1.63685,2.23059,1.13701,0.02378,1.37432,0.69625,0.56034,0.57309,0.30413,0.62934,0.50862,0.50135,0.22335,1.68797,2.14209,1.4163,0.03226,0,0.0010694,0.0010694,0.0010694
49,224.639,1.61754,2.20184,1.11321,0.02327,1.39766,0.63987,0.59738,0.58742,0.3409,0.60595,0.57003,0.52366,0.24995,1.62479,2.24401,1.36536,0.02867,0,0.0010496,0.0010496,0.0010496
